,lasso,elasticnet
314,-19.877842180493126,-19.89651661100595
315,-25.950244630909822,-25.83878469037254
316,-3.02293645926723,-3.0131785776616504
317,-3.02293645926723,-3.0131785776616504
318,-14.041549996449081,-14.014266939320615
319,-16.087627429373647,-15.831406543199376
320,-14.041549996449081,-14.014266939320615
321,2.9987029637384777,3.0963046502703007
322,-5.312166098286566,-5.143232069553498
323,-8.771399024178628,-8.697325707975049
324,5.908702113588016,5.966207658618721
325,5.482063904203655,5.459321155490621
326,-3.5922692516974215,-3.6052662734129184
327,-3.5922692516974215,-3.6052662734129184
328,-5.366149275787806,-5.382553562217786
329,-9.840860946747865,-9.89852252750459
330,-8.749468956549894,-8.760617438255538
331,-9.840860946747865,-9.89852252750459
332,-11.170095497649365,-11.184238312019685
333,-7.30945379736315,-7.284991746119676
334,-7.30945379736315,-7.284991746119676
335,-14.935086025058109,-14.964418940483878
336,-15.740261471235527,-15.852264534282114
337,-16.048641150803512,-16.03158120832217
338,-15.740261471235527,-15.852264534282114
339,-0.7531957607346349,-0.4749619624447787
340,-19.682845193740555,-19.551176672576887
341,-11.186037245597486,-11.264801919869681
342,-15.869973751376085,-15.818897200162843
343,-8.633646793601507,-8.942284996336772
344,-11.186037245597486,-11.264801919869681
345,-19.682845193740555,-19.551176672576887
346,-15.869973751376085,-15.818897200162843
347,-27.190087899707006,-27.147391012462567
348,-27.190087899707006,-27.147391012462567
349,-6.015305262365535,-6.057704756909536
350,-6.015305262365535,-6.057704756909536
351,-13.129463314843688,-12.941254802215932
352,-25.390057894494507,-25.40708929864776
353,-14.445862340872091,-14.558145868446305
354,-16.971589030699374,-16.907619603085017
355,-25.390057894494507,-25.40708929864776
356,-1.1413619503599717,-1.112449748959171
357,-2.3540854647186746,-2.3083015782131464
358,-4.957241378022613,-4.977398563283907
359,-10.177588411839697,-10.122870094906052
360,-14.932891963682357,-15.004600071186005
361,-17.72128271001394,-17.630850879958007
362,-17.72128271001394,-17.630850879958007
363,-20.90844521672755,-20.902361682516414
364,-17.25376100188696,-17.337226922877647
365,-17.25376100188696,-17.337226922877647
366,-14.99873680132228,-14.997116340322844
367,-4.50714490065776,-4.623392042870165
368,-9.235514066834131,-9.406146433500258
369,-9.743078659706796,-9.735851670602566
370,-12.989182465004976,-13.11910534304418
371,-14.106213446472417,-14.14921039841707
372,-6.831227028842877,-6.81835480067337
373,-19.829159000640527,-19.967387707927994
374,-21.161062610983354,-21.12571846702511
375,-20.72622008664091,-20.707076858879354
376,-2.95622220640025,-2.971364312023751
377,-24.757903719323956,-24.782647390473787
378,-15.366351769299111,-15.490786125289992
379,-14.46719159965982,-14.370546589182092
380,-21.731404998272208,-21.564334475189966
381,-19.762954476756118,-19.788024377935205
382,-9.75757345484996,-9.787513926316802
383,-1.8496125505665546,-1.81331082362845
384,-18.68050990142612,-18.634051452322726
385,-23.764821098988058,-23.80294160908532
386,-25.80375999658633,-25.583204397014157
387,-0.2017790836815465,-0.2565554008479676
388,-9.49132845788419,-9.537405793205604
389,-14.014601870074129,-13.850685825571611
390,-1.9929249825002289,-1.9835759790018366
391,-5.34332438213421,-5.310453356846745
392,-11.332739288258754,-11.203702408788304
393,-13.04309022379266,-13.164329173977627
394,-13.206779927410889,-13.086285698683888
395,-16.830432578952635,-16.98373008964625
396,-16.830432578952635,-16.98373008964625
397,-19.540490454253327,-19.435449028201088
398,-24.125982243903326,-24.30562180737484
399,-12.511495315011913,-12.711012680972111
400,-21.79252017074535,-21.799923616347602
401,-20.59041373086866,-20.605295099101216
402,-21.79252017074535,-21.799923616347602
403,-11.567826764483652,-11.257623563451423
404,-14.82230921538441,-14.920278870060736
405,-9.423374900541145,-9.4700517253733
406,-17.984733122772415,-17.896531362664582
407,-9.423374900541145,-9.4700517253733
408,-26.798531639116018,-26.76724251862714
409,-6.1760477096255,-6.1623504731242456
410,-12.114705371853018,-12.123515615102377
411,-2.083678906651647,-2.043872042308027
412,-5.535818433248845,-5.682042363322162
413,-11.190260614565089,-11.380450500471106
414,-11.61968996372052,-11.629649191897046
415,-12.064612577684173,-12.196055185701036
416,-15.336432115142754,-15.203876648574013
417,-15.336432115142754,-15.203876648574013
418,-19.379055396016604,-19.527338046135018
419,-22.605072479624162,-22.736981160855017
420,-11.425851107316193,-11.21956839619355
421,-19.935155784268648,-20.07412380582122
422,-20.4485676852993,-20.23698980782817
423,-19.935155784268648,-20.07412380582122
424,-13.779413836935445,-13.855512707996581
425,-13.953186688690899,-13.890956873545267
426,-10.55585237778563,-10.517301236586654
427,-19.276023241357972,-19.257062613402894
428,-10.55585237778563,-10.517301236586654
429,-23.821932903236092,-24.005323140875024
430,-8.9360555947979,-8.95174653198792
431,-10.685377522223892,-10.739562636165989
432,-3.7259343398100673,-3.7594667831599273
433,-4.997270803456079,-5.0970750995590866
434,-7.173027577308104,-7.371015432851505
435,-13.040905044359825,-13.081498904946185
436,-14.831968366163416,-14.861907038710358
437,-18.819476367539135,-18.87747628074777
438,-22.038115997420483,-22.029586898012827
439,-1.0218158139038063,-0.9927279483544054
440,-27.60320503623417,-27.47019999158158
441,-13.950282826917721,-13.935188466054292
442,-13.78439973623044,-13.839400461066402
443,-25.30361200769062,-25.459143141139943
444,-18.651263347314142,-18.61814598828603
445,-13.605440941304822,-13.624383274310688
446,-1.2626988189544772,-1.2916677076486176
447,-18.626456075543253,-18.568242358009925
448,-26.545291209401377,-26.513559293589463
449,-30.04383068012369,-30.034028356842068
450,-2.8675384815530927,-2.9441371321531964
451,-15.836082367401971,-15.831721373943113
452,-17.79793912293559,-17.77263600624221
453,-5.757352358532116,-5.774291378184621
454,-2.3642271477803196,-2.0986822834583387
455,8.079293534216102,7.8468415692669495
456,-3.986701191017674,-4.0543625876825615
457,-7.4310964190741355,-7.579480146865058
458,-6.922712396284437,-6.97237613944328
459,-11.50096133887262,-11.528615813047834
460,-22.639257704096412,-22.67874792036886
461,-18.1505698454552,-18.119890591597088
462,-4.0375489237841204,-4.065756743644497
463,-16.203362887912043,-16.20035849478746
464,-23.851584822370437,-23.82138825521097
465,-1.5008436340262932,-1.4755700111853798
466,-12.688113421605994,-12.667756209584233
467,-20.96307143413855,-21.079576398918434
468,-6.539457526971086,-6.5417541044479695
469,-1.5565804515550652,-1.6026183992204484
470,-13.73089340269472,-13.716745356745545
471,-11.818534538938387,-11.847815604522575
472,-2.5894014609936007,-2.5973150844545727
473,-24.521134457306275,-24.506213269907708
474,-24.521134457306275,-24.506213269907708
475,-11.818534538938387,-11.847815604522575
476,-24.521134457306275,-24.506213269907708
477,-11.818534538938387,-11.847815604522575
478,-13.381211270578886,-13.41753938679062
479,2.2842521359173187,1.9571601128468399
480,-12.110954202438078,-12.140741592071393
