,concentration,reference_energy,hull_energy,file_location
455,0.5,3.710077142857569,-33.16331300000083,/nfshome/sadowski/work/LiNiO2_data_base_Sabrina/DFT_database/CE_database_Marcel/02_enumerate_P21c_0-4fu/0785_finished_approved/run_final_approved/OUTCAR
456,0.875,-5.204664032258585,-10.748132722222357,/nfshome/sadowski/work/LiNiO2_data_base_Sabrina/DFT_database/CE_database_Marcel/02_enumerate_P21c_0-4fu/0797_finished_approved/run_final_approved/OUTCAR
457,0.75,-10.866327333333459,-21.496265444444713,/nfshome/sadowski/work/LiNiO2_data_base_Sabrina/DFT_database/CE_database_Marcel/02_enumerate_P21c_0-4fu/0798_finished_approved/run_final_approved/OUTCAR
458,0.625,-9.123532931034827,-27.32978922222277,/nfshome/sadowski/work/LiNiO2_data_base_Sabrina/DFT_database/CE_database_Marcel/02_enumerate_P21c_0-4fu/0799_finished_approved/run_final_approved/OUTCAR
459,0.625,-12.99828499999919,-27.32978922222277,/nfshome/sadowski/work/LiNiO2_data_base_Sabrina/DFT_database/CE_database_Marcel/02_enumerate_P21c_0-4fu/0800_finished_approved/run_final_approved/OUTCAR
460,0.625,-21.632668448275133,-27.32978922222277,/nfshome/sadowski/work/LiNiO2_data_base_Sabrina/DFT_database/CE_database_Marcel/02_enumerate_P21c_0-4fu/0802_finished_approved/run_final_approved/OUTCAR
461,0.5,-17.210632142856802,-33.16331300000083,/nfshome/sadowski/work/LiNiO2_data_base_Sabrina/DFT_database/CE_database_Marcel/02_enumerate_P21c_0-4fu/0804_finished_approved/run_final_approved/OUTCAR
462,0.5,-1.5804907142852795,-33.16331300000083,/nfshome/sadowski/work/LiNiO2_data_base_Sabrina/DFT_database/CE_database_Marcel/02_enumerate_P21c_0-4fu/0805_finished_approved/run_final_approved/OUTCAR
463,0.5,-17.152281428571264,-33.16331300000083,/nfshome/sadowski/work/LiNiO2_data_base_Sabrina/DFT_database/CE_database_Marcel/02_enumerate_P21c_0-4fu/0807_finished_approved/run_final_approved/OUTCAR
464,0.5,-24.02220642857092,-33.16331300000083,/nfshome/sadowski/work/LiNiO2_data_base_Sabrina/DFT_database/CE_database_Marcel/02_enumerate_P21c_0-4fu/0808_finished_approved/run_final_approved/OUTCAR
465,0.375,-2.1788831481488717,-32.440396307797684,/nfshome/sadowski/work/LiNiO2_data_base_Sabrina/DFT_database/CE_database_Marcel/02_enumerate_P21c_0-4fu/0809_finished_approved/run_final_approved/OUTCAR
466,0.375,-14.35230462963154,-32.440396307797684,/nfshome/sadowski/work/LiNiO2_data_base_Sabrina/DFT_database/CE_database_Marcel/02_enumerate_P21c_0-4fu/0810_finished_approved/run_final_approved/OUTCAR
467,0.375,-22.561748333334595,-32.440396307797684,/nfshome/sadowski/work/LiNiO2_data_base_Sabrina/DFT_database/CE_database_Marcel/02_enumerate_P21c_0-4fu/0813_finished_approved/run_final_approved/OUTCAR
468,0.25,-7.435371923076691,-24.344055641024216,/nfshome/sadowski/work/LiNiO2_data_base_Sabrina/DFT_database/CE_database_Marcel/02_enumerate_P21c_0-4fu/0814_finished_approved/run_final_approved/OUTCAR
469,0.125,-1.5163669999992635,-12.172027820512108,/nfshome/sadowski/work/LiNiO2_data_base_Sabrina/DFT_database/CE_database_Marcel/02_enumerate_P21c_0-4fu/0815_finished_approved/run_final_approved/OUTCAR
470,0.75,-13.351938666668179,-21.496265444444713,/nfshome/sadowski/work/LiNiO2_data_base_Sabrina/DFT_database/CE_database_Marcel/02_enumerate_P21c_0-4fu/0818_finished_approved/run_final_approved/OUTCAR
471,0.5,-11.49417464285664,-33.16331300000083,/nfshome/sadowski/work/LiNiO2_data_base_Sabrina/DFT_database/CE_database_Marcel/02_enumerate_P21c_0-4fu/0826_finished_approved/run_final_approved/OUTCAR
472,0.5,-1.5575832142867998,-33.16331300000083,/nfshome/sadowski/work/LiNiO2_data_base_Sabrina/DFT_database/CE_database_Marcel/02_enumerate_P21c_0-4fu/0827_finished_approved/run_final_approved/OUTCAR
473,0.5,-24.249700000000626,-33.16331300000083,/nfshome/sadowski/work/LiNiO2_data_base_Sabrina/DFT_database/CE_database_Marcel/02_enumerate_P21c_0-4fu/0828_finished_approved/run_final_approved/OUTCAR
474,0.5,-24.277121785715394,-33.16331300000083,/nfshome/sadowski/work/LiNiO2_data_base_Sabrina/DFT_database/CE_database_Marcel/02_enumerate_P21c_0-4fu/0829_finished_approved/run_final_approved/OUTCAR
475,0.5,-11.40060142857229,-33.16331300000083,/nfshome/sadowski/work/LiNiO2_data_base_Sabrina/DFT_database/CE_database_Marcel/02_enumerate_P21c_0-4fu/0830_finished_approved/run_final_approved/OUTCAR
476,0.5,-24.21828642857195,-33.16331300000083,/nfshome/sadowski/work/LiNiO2_data_base_Sabrina/DFT_database/CE_database_Marcel/02_enumerate_P21c_0-4fu/0831_finished_approved/run_final_approved/OUTCAR
477,0.5,-11.331477857142756,-33.16331300000083,/nfshome/sadowski/work/LiNiO2_data_base_Sabrina/DFT_database/CE_database_Marcel/02_enumerate_P21c_0-4fu/0832_finished_approved/run_final_approved/OUTCAR
